ranks,threads,total,compute,communicate
256,1,84.509029,79.918366,4.585734
128,2,82.104768,79.998822,2.103718
64,4,81.019350,79.950224,1.067112
32,8,83.873555,82.231490,1.638335
16,16,80.624849,79.713737,0.909268
8,32,83.199092,82.426880,0.770087
4,64,83.571597,83.046701,0.523689
1024,1,31.162442,20.243036,10.916825
512,2,24.535597,20.490358,4.043611
256,4,23.089358,20.668576,2.417827
128,8,21.881177,20.540987,1.338485
64,16,21.698445,20.868390,0.829524
32,32,22.908650,22.151634,0.756319
16,64,22.811020,21.973990,0.835818
512,1,47.092379,41.095256,5.994892
256,2,43.384773,40.100997,3.281863
128,4,42.668000,40.870606,1.794329
64,8,41.835162,40.548653,1.284562
32,16,43.191610,42.163758,1.026849
16,32,41.988535,41.223800,0.763939
8,64,43.350544,42.767803,0.581811
64,1,317.830457,314.173962,3.650059
32,2,323.922795,320.694116,3.225041
16,4,324.753892,323.396330,1.356169
8,8,338.704355,335.997327,2.704346
4,16,325.538831,324.858255,0.680122
2,32,318.713891,318.224771,0.488208
1,64,324.882996,324.842865,0.039118
128,1,164.129608,160.154220,3.969883
64,2,161.143058,159.164470,1.977079
32,4,170.251756,167.067191,3.179213
16,8,161.745488,160.595382,1.148842
8,16,160.681500,159.752590,0.927304
4,32,167.364265,166.485070,0.874565
2,64,169.287005,168.723840,0.562104
2048,1,18.701605,10.213202,8.485369
1024,2,16.173382,9.934992,6.236854
512,4,12.576230,10.386287,2.188251
256,8,12.729859,10.804928,1.923230
128,16,12.415511,11.084769,1.329131
64,32,12.913113,11.813487,1.098678
32,64,12.456948,11.780923,0.674444
8192,1,10.995270,2.692722,8.300315
4096,2,5.238161,2.671036,2.565823
2048,4,4.464178,2.687444,1.775762
1024,8,4.614065,2.834931,1.778261
512,16,4.842269,3.029761,1.811535
256,32,5.291482,3.434441,1.856072
128,64,5.249292,3.902167,1.345498
4096,1,13.386960,5.042210,8.341837
2048,2,8.862689,5.487662,3.373209
1024,4,7.278077,5.391327,1.885063
512,8,7.013473,5.195931,1.816698
256,16,7.345869,5.478316,1.866415
128,32,7.030017,5.986554,1.042468
64,64,7.527071,6.407447,1.117843
